id	localidad	secc_codigo	x2022	x2019	diff2019
3001610010	Cartagena	sección 10010	14350	12950	
3001610011	Cartagena	sección 10011	12950	11550	
3001610012	Cartagena	sección 10012	17150	15400	
3001610013	Cartagena	sección 10013	15750	13650	
3001610014	Cartagena	sección 10014	24150	21350	
3001610015	Cartagena	sección 10015	15050	12950	
3001610016	Cartagena	sección 10016	12250	12250	
3001610017	Cartagena	sección 10017	16450	15050	
3001610018	Cartagena	sección 10018	15050	12950	
3001610019	Cartagena	sección 10019	15050	14350	
3001610020	Cartagena	sección 10020	17150	16450	
3001610021	Cartagena	sección 10021	15750	15050	
3001610022	Cartagena	sección 10022	22050	19950	
3001610023	Cartagena	sección 10023	17850	16450	
3001610024	Cartagena	sección 10024	28350	22750	
3001610025	Cartagena	sección 10025	17150	15750	
3001610026	Cartagena	sección 10026	15750	13650	
3001610027	Cartagena	sección 10027	21350	18550	
3001610028	Cartagena	sección 10028	26950	24150	
3001610029	Cartagena	sección 10029	24850	22050	
3001610030	Cartagena	sección 10030	16450	15050	
3001610031	Cartagena	sección 10031	26250	24150	
3001610032	Cartagena	sección 10032	20650	18550	
3001610033	Cartagena	sección 10033	19250	17150	
3001610034	Cartagena	sección 10034	11550	10150	
3001610035	Cartagena	sección 10035	13650	12950	
3001610036	Cartagena	sección 10036	16450	15750	
3001610037	Cartagena	sección 10037	17150	15750	
3001610038	Cartagena	sección 10038	14350	12950	
3001610039	Cartagena	sección 10039	18550	15750	
3001610040	Cartagena	sección 10040	24150	20650	
3001610042	Cartagena	sección 10042	17150	15050	
3001610043	Cartagena	sección 10043	20650	17850	
3001610044	Cartagena	sección 10044	15050	14350	
3001610045	Cartagena	sección 10045	26250	24150	
3001610046	Cartagena	sección 10046	22750	19950	
3001701001	Cehegín	sección 01001	12250	10850	
3001701003	Cehegín	sección 01003	15050	12250	
3001701004	Cehegín	sección 01004	11550	10850	
3001701005	Cehegín	sección 01005	15050	12950	
3001701006	Cehegín	sección 01006	13650	12250	
3001701007	Cehegín	sección 01007	12950	11550	
3001701008	Cehegín	sección 01008	15050	12950	
3001701009	Cehegín	sección 01009	16450	14700	
3001701010	Cehegín	sección 01010	14350	12250	
3001701011	Cehegín	sección 01011	12950	10850	
3001701012	Cehegín	sección 01012	12950	11550	
3001701013	Cehegín	sección 01013	14350	12950	
3001701014	Cehegín	sección 01014	12950	11550	
3001701015	Cehegín	sección 01015	15050	12250	
3001701016	Cehegín	sección 01016	14350	12250	
3001701017	Cehegín	sección 01017			
3001801001	Ceutí	sección 01001	11550	10850	
3001801002	Ceutí	sección 01002	14350	13650	
3001801003	Ceutí	sección 01003	14350	13650	
3001801004	Ceutí	sección 01004	15050	12950	
3001801005	Ceutí	sección 01005	15050	12950	
3001801006	Ceutí	sección 01006	14350	12950	
3001801007	Ceutí	sección 01007	18550	17150	
3001801008	Ceutí	sección 01008	15050	13650	
3001801009	Ceutí	sección 01009	13650	12950	
3001901001	Cieza	sección 01001	12250	10850	
3001901002	Cieza	sección 01002	10850	10150	
3001901003	Cieza	sección 01003	16450	15050	
3001901004	Cieza	sección 01004	13650	12250	
3001901005	Cieza	sección 01005	14350	12250	
3001901006	Cieza	sección 01006	15750	14350	
3001901007	Cieza	sección 01007	15750	13650	
3001901008	Cieza	sección 01008	13650	11550	
3001901009	Cieza	sección 01009	15750	14350	
3001901010	Cieza	sección 01010	16450	14350	
3001901011	Cieza	sección 01011	15050	15050	
